observation_date,CPIAUCSL
1989-03-01,122.200
1989-04-01,123.100
1989-05-01,123.700
1989-06-01,124.100
1989-07-01,124.500
1989-08-01,124.500
1989-09-01,124.800
1989-10-01,125.400
1989-11-01,125.900
1989-12-01,126.300
1990-01-01,127.500
1990-02-01,128.000
1990-03-01,128.600
1990-04-01,128.900
1990-05-01,129.100
1990-06-01,129.900
1990-07-01,130.500
1990-08-01,131.600
1990-09-01,132.500
1990-10-01,133.400
1990-11-01,133.700
1990-12-01,134.200
1991-01-01,134.700
1991-02-01,134.800
1991-03-01,134.800
1991-04-01,135.100
1991-05-01,135.600
1991-06-01,136.000
1991-07-01,136.200
1991-08-01,136.600
1991-09-01,137.000
1991-10-01,137.200
1991-11-01,137.800
1991-12-01,138.200
1992-01-01,138.300
1992-02-01,138.600
1992-03-01,139.100
1992-04-01,139.400
1992-05-01,139.700
1992-06-01,140.100
1992-07-01,140.500
1992-08-01,140.800
1992-09-01,141.100
1992-10-01,141.700
1992-11-01,142.100
1992-12-01,142.300
1993-01-01,142.800
1993-02-01,143.100
1993-03-01,143.300
1993-04-01,143.800
1993-05-01,144.200
1993-06-01,144.300
1993-07-01,144.500
1993-08-01,144.800
1993-09-01,145.000
1993-10-01,145.600
1993-11-01,146.000
1993-12-01,146.300
1994-01-01,146.300
1994-02-01,146.700
1994-03-01,147.100
1994-04-01,147.200
1994-05-01,147.500
1994-06-01,147.900
1994-07-01,148.400
1994-08-01,149.000
1994-09-01,149.300
1994-10-01,149.400
1994-11-01,149.800
1994-12-01,150.100
1995-01-01,150.500
1995-02-01,150.900
1995-03-01,151.200
1995-04-01,151.800
1995-05-01,152.100
1995-06-01,152.400
1995-07-01,152.600
1995-08-01,152.900
1995-09-01,153.100
1995-10-01,153.500
1995-11-01,153.700
1995-12-01,153.900
1996-01-01,154.700
1996-02-01,155.000
1996-03-01,155.500
1996-04-01,156.100
1996-05-01,156.400
1996-06-01,156.700
1996-07-01,157.000
1996-08-01,157.200
1996-09-01,157.700
1996-10-01,158.200
1996-11-01,158.700
1996-12-01,159.100
1997-01-01,159.400
1997-02-01,159.700
1997-03-01,159.800
1997-04-01,159.900
1997-05-01,159.900
1997-06-01,160.200
1997-07-01,160.400
1997-08-01,160.800
1997-09-01,161.200
1997-10-01,161.500
1997-11-01,161.700
1997-12-01,161.800
1998-01-01,162.000
1998-02-01,162.000
1998-03-01,162.000
1998-04-01,162.200
1998-05-01,162.600
1998-06-01,162.800
1998-07-01,163.200
1998-08-01,163.400
1998-09-01,163.500
1998-10-01,163.900
1998-11-01,164.100
1998-12-01,164.400
1999-01-01,164.700
1999-02-01,164.700
1999-03-01,164.800
1999-04-01,165.900
1999-05-01,166.000
1999-06-01,166.000
1999-07-01,166.700
1999-08-01,167.100
1999-09-01,167.800
1999-10-01,168.100
1999-11-01,168.400
1999-12-01,168.800
2000-01-01,169.300
2000-02-01,170.000
2000-03-01,171.000
2000-04-01,170.900
2000-05-01,171.200
2000-06-01,172.200
2000-07-01,172.700
2000-08-01,172.700
2000-09-01,173.600
2000-10-01,173.900
2000-11-01,174.200
2000-12-01,174.600
2001-01-01,175.600
2001-02-01,176.000
2001-03-01,176.100
2001-04-01,176.400
2001-05-01,177.300
2001-06-01,177.700
2001-07-01,177.400
2001-08-01,177.400
2001-09-01,178.100
2001-10-01,177.600
2001-11-01,177.500
2001-12-01,177.400
2002-01-01,177.700
2002-02-01,178.000
2002-03-01,178.500
2002-04-01,179.300
2002-05-01,179.500
2002-06-01,179.600
2002-07-01,180.000
2002-08-01,180.500
2002-09-01,180.800
2002-10-01,181.200
2002-11-01,181.500
2002-12-01,181.800
2003-01-01,182.600
2003-02-01,183.600
2003-03-01,183.900
2003-04-01,183.200
2003-05-01,182.900
2003-06-01,183.100
2003-07-01,183.700
2003-08-01,184.500
2003-09-01,185.100
2003-10-01,184.900
2003-11-01,185.000
2003-12-01,185.500
2004-01-01,186.300
2004-02-01,186.700
2004-03-01,187.100
2004-04-01,187.400
2004-05-01,188.200
2004-06-01,188.900
2004-07-01,189.100
2004-08-01,189.200
2004-09-01,189.800
2004-10-01,190.800
2004-11-01,191.700
2004-12-01,191.700
2005-01-01,191.600
2005-02-01,192.400
2005-03-01,193.100
2005-04-01,193.700
2005-05-01,193.600
2005-06-01,193.700
2005-07-01,194.900
2005-08-01,196.100
2005-09-01,198.800
2005-10-01,199.100
2005-11-01,198.100
2005-12-01,198.100
2006-01-01,199.300
2006-02-01,199.400
2006-03-01,199.700
2006-04-01,200.700
2006-05-01,201.300
2006-06-01,201.800
2006-07-01,202.900
2006-08-01,203.800
2006-09-01,202.800
2006-10-01,201.900
2006-11-01,202.000
2006-12-01,203.100
2007-01-01,203.437
2007-02-01,204.226
2007-03-01,205.288
2007-04-01,205.904
2007-05-01,206.755
2007-06-01,207.234
2007-07-01,207.603
2007-08-01,207.667
2007-09-01,208.547
2007-10-01,209.190
2007-11-01,210.834
2007-12-01,211.445
2008-01-01,212.174
2008-02-01,212.687
2008-03-01,213.448
2008-04-01,213.942
2008-05-01,215.208
2008-06-01,217.463
2008-07-01,219.016
2008-08-01,218.690
2008-09-01,218.877
2008-10-01,216.995
2008-11-01,213.153
2008-12-01,211.398
2009-01-01,211.933
2009-02-01,212.705
2009-03-01,212.495
2009-04-01,212.709
2009-05-01,213.022
2009-06-01,214.790
2009-07-01,214.726
2009-08-01,215.445
2009-09-01,215.861
2009-10-01,216.509
2009-11-01,217.234
2009-12-01,217.347
2010-01-01,217.488
2010-02-01,217.281
2010-03-01,217.353
2010-04-01,217.403
2010-05-01,217.290
2010-06-01,217.199
2010-07-01,217.605
2010-08-01,217.923
2010-09-01,218.275
2010-10-01,219.035
2010-11-01,219.590
2010-12-01,220.472
2011-01-01,221.187
2011-02-01,221.898
2011-03-01,223.046
2011-04-01,224.093
2011-05-01,224.806
2011-06-01,224.806
2011-07-01,225.395
2011-08-01,226.106
2011-09-01,226.597
2011-10-01,226.750
2011-11-01,227.169
2011-12-01,227.223
2012-01-01,227.842
2012-02-01,228.329
2012-03-01,228.807
2012-04-01,229.187
2012-05-01,228.713
2012-06-01,228.524
2012-07-01,228.590
2012-08-01,229.918
2012-09-01,231.015
2012-10-01,231.638
2012-11-01,231.249
2012-12-01,231.221
2013-01-01,231.679
2013-02-01,232.937
2013-03-01,232.282
2013-04-01,231.797
2013-05-01,231.893
2013-06-01,232.445
2013-07-01,232.900
2013-08-01,233.456
2013-09-01,233.544
2013-10-01,233.669
2013-11-01,234.100
2013-12-01,234.719
2014-01-01,235.288
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.460
2014-09-01,237.477
2014-10-01,237.430
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.747
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.001
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.652
2016-02-01,237.336
2016-03-01,238.080
2016-04-01,238.992
2016-05-01,239.557
2016-06-01,240.222
2016-07-01,240.101
2016-08-01,240.545
2016-09-01,241.176
2016-10-01,241.741
2016-11-01,242.026
2016-12-01,242.637
2017-01-01,243.618
2017-02-01,244.006
2017-03-01,243.892
2017-04-01,244.193
2017-05-01,244.004
2017-06-01,244.163
2017-07-01,244.243
2017-08-01,245.183
2017-09-01,246.435
2017-10-01,246.626
2017-11-01,247.284
2017-12-01,247.805
2018-01-01,248.859
2018-02-01,249.529
2018-03-01,249.577
2018-04-01,250.227
2018-05-01,250.792
2018-06-01,251.018
2018-07-01,251.214
2018-08-01,251.663
2018-09-01,252.182
2018-10-01,252.772
2018-11-01,252.594
2018-12-01,252.767
2019-01-01,252.561
2019-02-01,253.319
2019-03-01,254.277
2019-04-01,255.233
2019-05-01,255.296
2019-06-01,255.213
2019-07-01,255.802
2019-08-01,256.036
2019-09-01,256.430
2019-10-01,257.155
2019-11-01,257.879
2019-12-01,258.630
2020-01-01,259.127
2020-02-01,259.250
2020-03-01,258.076
2020-04-01,256.032
2020-05-01,255.802
2020-06-01,257.042
2020-07-01,258.352
2020-08-01,259.316
2020-09-01,259.997
2020-10-01,260.319
2020-11-01,260.911
2020-12-01,262.045
2021-01-01,262.639
2021-02-01,263.573
2021-03-01,264.847
2021-04-01,266.625
2021-05-01,268.404
2021-06-01,270.710
2021-07-01,271.965
2021-08-01,272.752
2021-09-01,273.942
2021-10-01,276.528
2021-11-01,278.824
2021-12-01,280.806
2022-01-01,282.542
2022-02-01,284.525
2022-03-01,287.467
2022-04-01,288.582
2022-05-01,291.299
2022-06-01,295.072
2022-07-01,294.940
2022-08-01,295.162
